date,spy,score,gauge_pct,regime,model_prob,fwd_ret_3m,fwd_ret_6m,fwd_dd_3m,fwd_dd_6m,trap_10pct_3m,trap_10pct_6m
2019-12-20,292.3515930175781,7.5,75.0,Early Bull Market,65.0,-0.23742765619700756,-0.01703546961479374,-0.3371726607877109,-0.3371726607877109,True,True
2019-12-27,294.2931213378906,7.5,75.0,Early Bull Market,65.0,-0.18482138607380783,-0.0472711016667674,-0.3371726607877109,-0.3371726607877109,True,True
2020-01-03,293.8830261230469,7.5,75.0,Early Bull Market,65.0,-0.22567723289372255,-0.0064897472564524605,-0.3371726607877109,-0.3371726607877109,True,True
2020-01-10,296.8909912109375,7.5,75.0,Early Bull Market,65.0,-0.14868771460089936,-0.023410539975026068,-0.3371726607877109,-0.3371726607877109,True,True
2020-01-17,302.57891845703125,6.5,65.0,Early Bull Market,65.0,-0.14672151203450645,-0.012915805757512944,-0.3371726607877109,-0.3371726607877109,True,True
2020-01-24,299.6802062988281,6.5,65.0,Early Bull Market,65.0,-0.13424578466568116,-0.013939012340323353,-0.3371726607877109,-0.3371726607877109,True,True
2020-01-31,293.26312255859375,5.0,50.0,Bull Trap Risk,40.0,-0.11586451779805418,0.02534859244554899,-0.3371726607877109,-0.3371726607877109,True,True
2020-02-07,302.8067321777344,5.5,55.0,Bull Trap Risk,40.0,-0.11451023147592443,0.017514563807380368,-0.3371726607877109,-0.3371726607877109,True,True
2020-02-14,307.7289123535156,7.5,75.0,Early Bull Market,65.0,-0.14702785030159182,0.008032499307543128,-0.3371726607877109,-0.3371726607877109,True,True
2020-02-21,303.9734191894531,4.5,45.0,Bull Trap Risk,40.0,-0.11054915260635378,0.024848701398640483,-0.32751286794843004,-0.32751286794843004,True,True
2020-02-28,270.0467529296875,3.0,30.0,Bear Market,20.0,0.03324585722144646,0.1878759510230208,-0.2831906733124224,-0.2831906733124224,True,True
2020-03-06,271.14056396484375,3.5,35.0,Bear Market,20.0,0.07986868261897317,0.1730984855596127,-0.24608029908379925,-0.24608029908379925,True,True
2020-03-13,245.49037170410156,2.5,25.0,Bear Market,20.0,0.13619062412262406,0.25316753496000266,-0.16730659751895416,-0.16730659751895416,True,True
