d1_min,d2_min,liquidity_min,n,drop5_4w,drop10_8w,drop10_13w,drop10_26w,drop15_26w,drop20_26w,avg_fwd_dd_26w,median_fwd_dd_26w
30,5,50,130,0.17692307692307693,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.08461538461538462,0.023076923076923078,-0.05043692860010344,-0.0388623350405215
50,5,50,87,0.19540229885057472,0.08045977011494253,0.11494252873563218,0.12643678160919541,0.09195402298850575,0.022988505747126436,-0.04935294699991343,-0.03922715491758055
30,3,50,135,0.17777777777777778,0.08148148148148149,0.1259259259259259,0.16296296296296298,0.08888888888888889,0.022222222222222223,-0.05076451387794621,-0.0388623350405215
50,3,50,91,0.1978021978021978,0.08791208791208792,0.13186813186813187,0.14285714285714285,0.0989010989010989,0.02197802197802198,-0.050025397614897195,-0.03922715491758055
20,7,50,140,0.18571428571428572,0.1,0.14285714285714285,0.18571428571428572,0.08571428571428572,0.02142857142857143,-0.0498787477925581,-0.0388623350405215
20,5,50,182,0.16483516483516483,0.08241758241758242,0.11538461538461539,0.17032967032967034,0.07692307692307693,0.016483516483516484,-0.04985341921254047,-0.03912400331731669
40,11,50,62,0.27419354838709675,0.11290322580645161,0.14516129032258066,0.1935483870967742,0.11290322580645161,0.016129032258064516,-0.05367037327288323,-0.04271174776744424
20,3,50,221,0.15384615384615385,0.07692307692307693,0.1085972850678733,0.1583710407239819,0.07239819004524888,0.013574660633484163,-0.047163789749349566,-0.03517447844249416
30,11,50,79,0.25316455696202533,0.11392405063291139,0.1518987341772152,0.189873417721519,0.10126582278481013,0.012658227848101266,-0.050904854143668084,-0.03938862860724407
20,11,50,89,0.23595505617977527,0.10112359550561797,0.14606741573033707,0.21348314606741572,0.0898876404494382,0.011235955056179775,-0.04968896994457105,-0.03938862860724407
70,11,50,19,0.3157894736842105,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.0,-0.04502640547928968,-0.03971351650275856
70,3,50,21,0.2857142857142857,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.0,-0.03777306960743426,-0.03922715491758055
70,5,50,21,0.2857142857142857,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.0,-0.03777306960743426,-0.03922715491758055
70,7,50,21,0.2857142857142857,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.0,-0.03777306960743426,-0.03922715491758055
