Date,Platinum_Equity,Benchmark_Equity
2023-02-15,41106.36329682768,38172.533499393
2023-02-16,40360.2723445933,37646.937643982776
2023-02-17,40049.5772979324,37552.89037108
2023-02-21,39161.83073908286,36799.543963281474
2023-02-22,39117.52982808692,36748.82841883319
2023-02-23,39818.31669159904,36944.31560942806
2023-02-24,39002.75714272557,36549.65667757105
2023-02-27,39332.691317887264,36674.14269452469
2023-02-28,39300.001814148156,36538.588310909996
2023-03-01,39119.835733478394,36398.43706775673
2023-03-02,39513.98868833688,36681.51179585925
2023-03-03,40453.46992100395,37269.80975711379
2023-03-06,40354.068847991504,37295.628098171335
2023-03-07,39867.02113604482,36723.93710130615
2023-03-08,40238.79974756717,36783.86990828632
2023-03-09,39658.124740394975,36105.21511065997
2023-03-10,39265.275221023585,35584.23082944754
2023-03-13,39326.265606389956,35533.518227931105
2023-03-14,39640.927116654544,36120.88916565513
2023-03-15,39703.63210056179,35894.97500273678
2023-03-16,40110.8961725172,36524.76241711217
2023-03-17,40056.98661923962,36097.68709100589
2023-03-20,40233.12663915594,36444.78530135017
2023-03-21,40517.7632286865,36923.332505388345
2023-03-22,40210.42350798007,36293.918843357
2023-03-23,40824.11231986461,36392.03030513479
2023-03-24,40702.92746542083,36630.84039538862
2023-03-27,40383.518918485184,36699.32830523603
2023-03-28,40225.77756183195,36616.949757090246
2023-03-29,41161.213329907805,37149.176037942474
2023-03-30,41566.620244471786,37366.69401631311
2023-03-31,42040.086008176186,37893.36698477782
2023-04-03,41948.3884278757,38037.756049784824
2023-04-04,41775.59378179443,37826.72135026405
2023-04-05,41256.96352804855,37727.67403616022
2023-04-06,41469.83956433276,37874.85005762243
2023-04-10,41559.644993746435,37913.72324433498
2023-04-11,41206.79659220503,37923.90578851132
2023-04-12,40619.68091855809,37769.328293464285
2023-04-13,41677.652014330364,38271.012827651146
2023-04-14,41502.909232749975,38177.52765473036
2023-04-17,41505.598248993294,38314.515246152536
2023-04-18,41580.800314833265,38339.50073749855
2023-04-19,41420.29862382359,38333.02923037607
2023-04-20,41132.28986451722,38123.836806188934
2023-04-21,41027.16971587528,38153.46035811932
2023-04-24,40889.25747713372,38193.25762543053
2023-04-25,39706.49831139989,37586.98717941156
2023-04-26,39965.01165028478,37427.77456671198
2023-04-27,41447.15957672748,38172.89253707783
2023-04-28,41883.51806228425,38498.70746433444
2023-05-01,41942.2467391585,38459.83133469005
2023-05-02,41563.82856888056,38027.576448540305
2023-05-03,41298.66152058458,37766.55310873645
2023-05-04,41094.25261956081,37499.055318878265
2023-05-05,42206.49541363686,38193.257625430524
2023-05-08,42354.13924796854,38203.44311253871
2023-05-09,42038.454916845265,38035.89905979196
2023-05-10,42514.89665940042,38213.61977085138
2023-05-11,42552.15072385511,38146.977079269454
2023-05-12,42424.50588440746,38096.99432485006
2023-05-15,42806.039427826865,38228.43154681657
2023-05-16,42775.63437858823,37972.964462332064
2023-05-17,43417.93273806696,38433.91293394984
2023-05-18,44322.52108880034,38804.1543603065
2023-05-19,44235.65713440183,38747.70009876462
2023-05-22,44377.30420319323,38763.43006946478
2023-05-23,43752.160887898324,38328.399998587214
2023-05-24,43403.2405053797,38050.713778688994
2023-05-25,44786.070047285546,38380.23091420394
2023-05-26,46179.03046910346,38877.28915953379
2023-05-30,46420.35342221692,38892.086220839774
2023-05-31,46017.99841604965,38676.425232462
2023-06-01,46742.586403698486,39043.89147409083
2023-06-02,46891.6698178757,39608.50766280575
2023-06-05,46778.588265906255,39532.61239350983
2023-06-06,46864.54453923904,39618.69314991394
2023-06-07,46070.45966560524,39481.69672969623
2023-06-08,46719.05277364549,39720.50681995007
2023-06-09,46879.21538055704,39791.77874332082
2023-06-12,47891.5856353999,40152.76464903164
2023-06-13,48310.77972641385,40417.48431123015
2023-06-14,48828.622497360666,40465.61890445223
2023-06-15,49301.5887159222,40967.30049570724
2023-06-16,48919.00184178261,40827.75549651361
2023-06-20,48753.73492939571,40615.93209125895
2023-06-21,47919.46500773662,40407.82855185368
2023-06-22,48342.02114369397,40553.68613985029
2023-06-23,47782.63658200416,40247.106215118714
2023-06-26,47012.00335539428,40082.66695546619
2023-06-27,48296.18545928791,40522.09376651701
2023-06-28,48246.87296665727,40542.538314029465
2023-06-29,48137.37009968934,40702.327741370245
2023-06-30,48987.1534170343,41182.652476241514
2023-07-03,49115.03870947951,41230.033678911816
2023-07-05,48931.85622270488,41168.71475103365
2023-07-06,48512.22363652648,40846.34011110136
2023-07-07,48385.50719275001,40743.20800759963
2023-07-10,48514.41473889125,40846.34011110136
2023-07-11,48808.2029619566,41106.468799624985
2023-07-12,49789.865954399094,41437.210194786574
2023-07-13,50712.9154266837,41766.09459995529
2023-07-14,50625.027892684666,41740.07613953244
2023-07-17,51219.54409584903,41885.0037610667
2023-07-18,51731.623799452376,42196.23646104186
2023-07-19,51606.04211375606,42290.071842851954
2023-07-20,50232.96228699273,42009.49272095219
2023-07-21,50118.02465314936,42009.49272095219
2023-07-24,50189.30230323631,42197.1723133679
2023-07-25,50790.0573226356,42312.367494493585
2023-07-26,50458.409183836615,42318.8684309345
2023-07-27,50359.23975348733,42038.29519489841
2023-07-28,51356.49707716613,42449.870098988256
2023-07-31,51425.3575119686,42530.69477912099
2023-08-01,51278.02124568398,42408.98983275887
2023-08-02,49792.9421317937,41819.04677260417
2023-08-03,49701.26825072079,41699.201759166746
2023-08-04,49593.143031259846,41510.60102908422
2023-08-07,49950.3270877551,41872.925968783544
2023-08-08,49440.27870164593,41690.83500393745
2023-08-09,48750.33815986602,41412.1246437579
2023-08-10,48751.2286737,41426.98939249627
2023-08-11,48243.32076918287,41402.83380792994
2023-08-14,49033.49098330791,41631.376008983985
2023-08-15,48553.45762201673,41146.42204232387
2023-08-16,47990.1831995108,40844.48312110852
2023-08-17,47555.67163394337,40533.24747820151
2023-08-18,47571.14985385522,40552.75911631978
2023-08-21,48578.944303981545,40816.60472776096
2023-08-22,48395.3451322551,40706.05349308333
2023-08-23,49244.83576175894,41159.41802934202
2023-08-24,48572.4540149082,40588.98955023743
2023-08-25,48696.20931554927,40875.136699183924
2023-08-28,48999.26976386148,41134.34130710888
2023-08-29,49756.83638889786,41728.928313711636
2023-08-30,50061.77450318948,41900.79847626742
2023-08-31,50249.5095956733,41839.48543425295
2023-09-01,50233.74224365039,41917.52021499864
2023-09-05,50270.1631618097,41736.36215954675
2023-09-06,49733.3916716243,41455.79186644251
2023-09-07,49202.852120641386,41328.5071213063
