Date,Strategy_Return,SPY_Return,Fixed_Fund_Return,Strategy_Equity,SPY_Equity,Fixed_Fund_Equity,Turnover
2022-05-04,0.010652409584277364,0.030452892071162196,0.020637892056742355,115855.6153053063,144551.62752647448,149989.46782163356,0.0
2022-05-05,-0.006610372661677064,-0.03554279651150083,-0.018499478649119407,115089.76651319033,139413.85844389474,147214.74086407447,0.0
2022-05-06,0.0032661010560947027,-0.005968788992174789,0.0008477531912786385,115465.66132114475,138581.7265402582,147339.54263044527,0.0
2022-05-09,-0.022017711518965102,-0.032017510659415827,-0.02842607068453509,112923.37169982925,134144.6846335552,143151.25837700514,0.0
2022-05-10,-0.006530964985689073,0.002310766412584764,-0.0075804091108782334,112185.8731131917,134454.6616652332,142066.11327377043,0.0
2022-05-11,0.005906886456756574,-0.015886189604864653,0.0007789010506578713,112848.54232772344,132318.6894167614,142176.76871866226,0.0
2022-05-12,-0.00409201248028977,-0.0010440522200639846,-0.004348553277056794,112386.76468413588,132180.54179531985,141558.5054651294,0.0
2022-05-13,0.013061749859936082,0.023907923212204807,0.018993295413162047,113854.73249200758,135340.70403870998,144247.16797767428,0.0
2022-05-16,0.006038742143629327,-0.004057444091123186,0.004130555230253297,114542.2718633587,134791.56669881966,144842.9888718137,0.0
2022-05-17,0.003343198567940451,0.020570130079304638,0.010111561889061841,114925.20942262092,137564.24675940766,146307.57771798773,0.0
2022-05-18,-0.011191141528627917,-0.04031145241465184,-0.023569738240278422,113639.06513876519,132018.83217220838,142859.14640860556,0.0
2022-05-19,0.0016742307217218846,-0.006124655768139808,0.0007995961669739595,113829.32315280827,131210.26227024177,142973.37603449108,0.0
2022-05-20,0.0014692004653906886,0.00043660733766004434,0.0011593837599026104,113996.56124735948,131267.54963352525,143139.13704476392,0.0
2022-05-23,0.006462293594960082,0.018710073443992448,0.011892567810563043,114733.24049495577,133723.57512798143,144841.42893841423,0.0
2022-05-24,-0.0007513512167835871,-0.007633674221568465,-0.0028232608046993013,114647.03553510435,132702.772919711,144432.50380919577,0.0
2022-05-25,0.0038146619372627067,0.008834885698850936,0.00616639439366582,115084.37521778012,133875.1867503772,145323.13159094792,0.0
2022-05-26,0.003624907352540975,0.01998122180942241,0.0095211007033985,115501.54541566964,136550.17655161434,146706.76776135855,0.0
2022-05-27,0.005563854806547459,0.02454928676126733,0.012859683674427963,116144.17924429428,139902.38599308158,148593.37038766738,0.0
2022-05-31,-0.0027758724356875993,-0.005611033732697335,-0.0047119551225285996,115821.77781856449,139117.38898598956,147893.2050948954,0.0
2022-06-01,0.0044899671714478066,-0.0080884658827306,0.001436571535950454,116341.81379870856,137992.1427314818,148105.66426369522,0.0
2022-06-02,0.006515481972053404,0.019043432180058772,0.012673022864810696,117099.83678911005,140619.98674296978,149982.610733317,0.0
2022-06-03,0.0011820365830867434,-0.01641146415777439,-0.00502162495737305,117238.25308006827,138312.20687067084,149229.4543120866,0.0
2022-06-06,0.003446917614680343,0.0030446300807529525,0.004474621936512202,117642.36367972431,138733.3163762446,149897.19970192522,0.0
2022-06-07,0.005049189697162403,0.009592355136522235,0.00848062343698644,118236.36229036583,140064.09561619305,151168.421406856,0.0
2022-06-08,-0.0005673550824434664,-0.01087243182866171,-0.004515648498629121,118169.28028929076,138541.25828496282,150485.79795169,0.0
2022-06-09,-0.006990200994033689,-0.0237826517974018,-0.013579762815902995,117343.25326874833,135246.37977959763,148442.23650834415,0.0
2022-06-10,-0.008199306517564925,-0.028995708244383245,-0.016991196134204575,116381.11996742961,131324.81521039936,145920.0253532309,0.0
2022-06-13,-0.012810710921743929,-0.037968211456457346,-0.024066724631368434,114890.19508277807,126338.64685701072,142408.20828485242,0.0
2022-06-14,-0.0034170786097639898,-0.0030131233740635643,-0.003200788945028904,114497.6062546891,125957.9729271183,141952.38966609287,0.0
2022-06-15,-0.0013721982742271612,0.014256006190788373,0.003240188523232401,114340.49283698326,127753.63056894646,142412.34216993436,0.0
2022-06-16,-0.010874263741002326,-0.03309589806398938,-0.02100368571918223,113097.12416159772,123525.50943433205,139421.15809246444,0.0
2022-06-17,-0.008959716801341475,0.0021557918055044034,-0.007381929254214048,112083.80595806365,123791.80471534135,138391.96096688526,0.0
2022-06-21,0.007064867019456038,0.02517341625153735,0.013081534620834199,112875.66314219186,126908.06734396967,140202.3401955187,0.0
2022-06-22,-0.010768524050600378,-0.0018128436366570133,-0.01035097379747375,111660.15884891771,126678.0028616447,138751.10944581038,0.0
2022-06-23,-0.010090655936275192,0.009802490909645911,-0.006260786586655326,110533.43460418345,127919.76283314808,137882.41836090852,0.0
2022-06-24,0.007985451915894467,0.03179396136226287,0.016323478224170147,111416.09403131383,131986.83883013504,140133.1390145187,0.0
2022-06-27,0.005217943252253676,-0.003819521875983667,0.003905521827376907,111997.45688735698,131482.7122118814,140680.43204767877,0.0
2022-06-28,0.0035032657437402094,-0.020432953700112777,-0.0033538078370949076,112389.81374145647,128796.13204089078,140208.61691215137,0.0
2022-06-29,-0.00477650132813059,-0.0008145621485292631,-0.0047287316417876256,111852.98364685205,128691.2195868533,139545.60798890758,0.0
2022-06-30,-0.008306118128839017,-0.0081242441635907,-0.00935662076801802,110923.9195516182,127645.70069721944,138239.93265511288,0.0
2022-07-01,0.0008014900978084779,0.010576450428062323,0.004201837663965075,111012.82397474891,128995.73912299887,138820.7944108071,0.0
2022-07-05,-0.011655528387394885,0.0018886400727453623,-0.01563874474094476,109718.91085354635,129239.36564511998,136649.81144228132,0.37999999999999995
2022-07-06,-0.0014202682468689896,0.003377382025736342,-0.0011775803862543069,109563.08056838,129675.85635566736,136488.89530454157,0.0
2022-07-07,0.008285561352895982,0.014977206954569056,0.014690910781076195,110470.8721944416,131618.03849331717,138494.04148806824,0.0
2022-07-08,0.000889552599468361,-0.0008226718428230306,-8.995008243990456e-05,110569.14184596771,131509.7600390411,138481.58393761894,0.0
2022-07-11,0.0008770839978693783,-0.011423597254022755,-0.0024888770151774214,110666.12027093896,130007.44550538193,138136.92030633122,0.0
2022-07-12,-0.008589079924441505,-0.008848881277488618,-0.011626398591724563,109715.60011900401,128857.02505491523,136530.88541061652,0.0
