Date,SPY,QQQ,GMOM,RLY,DBMF,SGOV
2023-11-13,425.5742492675781,371.2733154296875,24.615217208862305,24.051116943359375,24.264490127563477,89.49162292480469
2023-11-14,433.83074951171875,379.2655029296875,24.970252990722656,24.542322158813477,23.705997467041016,89.5272445678711
2023-11-15,434.7491760253906,379.5509948730469,24.95820426940918,24.469552993774414,23.886432647705078,89.5272445678711
2023-11-16,435.281005859375,379.87579345703125,24.704206466674805,24.24213981628418,23.680217742919922,89.57180786132812
2023-11-17,435.82232666015625,379.9643859863281,24.88033676147461,24.55141830444336,23.62006950378418,89.58963775634766
2023-11-20,439.1771545410156,384.59039306640625,25.028650283813477,24.651485443115234,23.542739868164062,89.5985336303711
2023-11-21,438.219970703125,382.3561096191406,24.871065139770508,24.7060604095459,23.551334381103516,89.62525177001953
2023-11-22,439.9118957519531,383.9211120605469,24.89423942565918,24.596906661987305,23.74895668029785,89.660888671875
2023-11-24,440.1826171875,383.3797302246094,24.99250030517578,24.7060604095459,23.714590072631836,89.68767547607422
2023-11-27,439.3898620605469,383.0450744628906,24.922048568725586,24.633289337158203,23.559926986694336,89.68767547607422
2023-11-28,439.82489013671875,384.0490417480469,25.089832305908203,24.751543045043945,23.42245101928711,89.69654083251953
2023-11-29,439.5154724121094,383.6750183105469,25.10744857788086,24.797025680541992,23.302160263061523,89.72327423095703
2023-11-30,441.2460632324219,382.71038818359375,25.004552841186523,24.778831481933594,23.448226928710938,89.7500228881836
2023-12-01,443.8564453125,383.802978515625,25.269668579101562,24.933473587036133,23.121723175048828,89.779541015625
2023-12-04,441.5264587402344,380.23992919921875,25.017528533935547,24.7060604095459,23.293567657470703,89.78849792480469
2023-12-05,441.439453125,381.1946716308594,24.898880004882812,24.487743377685547,23.104536056518555,89.80638122558594
2023-12-06,439.6604919433594,378.9898681640625,24.73294448852539,24.342201232910156,23.121723175048828,89.80638122558594
2023-12-07,443.0153503417969,384.2853088378906,24.815446853637695,24.433168411254883,22.915504455566406,89.85111999511719
2023-12-08,444.9199523925781,385.9978942871094,24.835840225219727,24.442264556884766,23.16468620300293,89.86009216308594
2023-12-11,446.6504821777344,389.29510498046875,24.829349517822266,24.451356887817383,23.276382446289062,89.87797546386719
2023-12-12,448.6904296875,392.3955993652344,24.737581253051758,24.187562942504883,23.147499084472656,89.88691711425781
2023-12-13,454.8778991699219,397.3857421875,25.105594635009766,24.678768157958984,22.984249114990234,89.8958740234375
2023-12-14,456.3377685546875,397.041259765625,25.541278839111328,25.115402221679688,22.752256393432617,89.94530487060547
2023-12-15,455.58642578125,398.9605407714844,25.404085159301758,24.96986198425293,22.889732360839844,89.95429992675781
2023-12-18,458.149169921875,401.4735107421875,25.46804428100586,25.133596420288086,22.872547149658203,89.96329498291016
2023-12-19,460.9350891113281,403.52484130859375,25.696081161499023,25.344257354736328,22.872547149658203,89.99028015136719
2023-12-20,454.54779052734375,397.5285949707031,25.49492835998535,25.06585121154785,22.84676742553711,89.99925994873047
2023-12-21,458.85772705078125,402.1539611816406,25.73316192626953,25.30713653564453,22.786623001098633,90.0531997680664
2023-12-22,459.77996826171875,402.755615234375,25.820775985717773,25.353538513183594,22.85536003112793,90.06219482421875
2023-12-26,461.7213134765625,405.2211608886719,25.944177627563477,25.47418212890625,22.81240463256836,90.0711898803711
2023-12-27,462.5561828613281,406.04608154296875,26.023303985595703,25.492740631103516,22.830087661743164,90.08016204833984
2023-12-28,462.73089599609375,405.84869384765625,25.875408172607422,25.325698852539062,22.803564071655273,90.13412475585938
2023-12-29,461.391357421875,404.0923156738281,25.896133422851562,25.260732650756836,22.777034759521484,90.14310455322266
2024-01-02,458.8092041015625,397.2541809082031,25.647436141967773,25.232892990112305,22.830087661743164,90.16108703613281
2024-01-03,455.0622863769531,393.05059814453125,25.3572940826416,25.2700138092041,22.777034759521484,90.17008209228516
2024-01-04,453.596435546875,391.0278015136719,25.470338821411133,25.167932510375977,22.953874588012695,90.21502685546875
2024-01-05,454.21771240234375,391.4915771484375,25.650266647338867,25.167932510375977,22.87429428100586,90.22401428222656
2024-01-08,460.7021179199219,399.5829162597656,25.641786575317383,25.093692779541016,23.01576805114746,90.25096130371094
2024-01-09,460.0032043457031,400.372314453125,25.58526611328125,24.8988094329834,23.042293548583984,90.25997161865234
2024-01-10,462.6047058105469,403.08587646484375,25.51932716369629,24.824565887451172,23.25450325012207,90.27794647216797
2024-01-11,462.40087890625,403.9245910644531,25.521203994750977,24.85240364074707,23.059980392456055,90.33189392089844
2024-01-12,462.72119140625,404.1318054199219,25.671932220458984,24.954486846923828,23.068819046020508,90.34087371826172
2024-01-16,461.0224304199219,404.0923156738281,25.26592254638672,24.509035110473633,23.210290908813477,90.34986114501953
2024-01-17,458.45977783203125,401.8129577636719,24.967296600341797,24.26775360107422,23.25450325012207,90.35887145996094
2024-01-18,462.5367431640625,407.516357421875,25.316791534423828,24.30487632751465,23.28986930847168,90.39484405517578
2024-01-19,468.3028259277344,415.5977478027344,25.69830894470215,24.369834899902344,23.325237274169922,90.42179107666016
2024-01-22,469.29296875,416.14056396484375,25.59562873840332,24.258472442626953,23.413660049438477,90.43077087402344
2024-01-23,470.6616516113281,417.8673400878906,25.557004928588867,24.351272583007812,23.413660049438477,90.44876861572266
2024-01-24,471.1761474609375,420.1861267089844,25.472225189208984,24.425518035888672,23.33407974243164,90.45774841308594
2024-01-25,473.7388000488281,420.6993103027344,25.651208877563477,24.62967872619629,23.351764678955078,90.50269317626953
2024-01-26,473.1369934082031,418.1929626464844,25.612581253051758,24.731761932373047,23.475549697875977,90.50269317626953
2024-01-29,476.8840026855469,422.4754333496094,25.641786575317383,24.750322341918945,23.502079010009766,90.51170349121094
2024-01-30,476.5151062011719,419.66314697265625,26.00917625427246,24.80600357055664,23.51091957092285,90.53865814208984
2024-01-31,468.73968505859375,411.4436340332031,25.59280014038086,24.601839065551758,23.33407974243164,90.53865814208984
2024-02-01,474.8746032714844,416.2885437011719,25.799104690551758,24.694643020629883,23.55512809753418,90.59102630615234
2024-02-02,479.873779296875,423.3240051269531,25.48164176940918,24.444074630737305,23.696603775024414,90.6000747680664
2024-02-05,478.12646484375,422.77142333984375,25.557004928588867,24.30487632751465,23.590497970581055,90.6181411743164
