,NTSX,Platinum,F-TAA Weekly,SPY
2021-05-18,123398.67220667926,122953.87322887595,105130.92446485444,136981.218007971
2021-05-19,122781.18555685444,123039.22918897204,104098.06145006242,136622.05717569645
2021-05-20,123783.63448759992,124353.16348390708,104643.5586150979,138091.82008031014
2021-05-21,123945.96006695885,124057.71351113365,104733.4003864075,137978.7673132485
2021-05-24,124919.51219868156,125260.16668784716,105637.10602700764,139385.36837930646
2021-05-25,124637.73192235226,125392.43002758242,105215.46697980752,139076.09847553784
2021-05-26,125035.20885234464,125597.39920242934,105580.70176682202,139352.1334045731
2021-05-27,125378.35834073996,125475.48960741222,106087.3444139259,139425.29650867358
2021-05-28,125466.94600239057,125646.49180401699,106196.12579361707,139674.67421839148
2021-06-01,125722.27403213967,125428.51053991639,106715.44417311106,139551.658652191
2021-06-02,125821.84393685321,125635.21440247931,106971.6469375488,139771.1094980865
2021-06-03,125233.50948705262,124677.13328302768,106438.81501276336,139252.35154756118
2021-06-04,126466.40309283315,126563.29675563746,107175.58749884783,140525.9357818739
2021-06-07,126460.74778494361,126780.45766504493,107213.4068960487,140389.64930562366
2021-06-08,126866.9448348431,126690.13945785648,107548.15822546229,140419.57616944605
2021-06-09,126787.84349610403,126644.77762310597,107223.78560146986,140210.04965628343
2021-06-10,127198.85667917402,127244.65790282704,107419.33468349428,140861.785972148
2021-06-11,127292.91721942741,127290.58572431409,107583.62927799186,141094.58466090515
2021-06-14,126889.78498154547,128326.39002367736,107386.43925374738,141410.5092529016
2021-06-15,126728.73640719384,127438.58610576819,107300.23915580602,141151.13027763896
2021-06-16,126104.35393032953,126526.7448603575,106574.25082265856,140362.9920863063
2021-06-17,125757.555856199,127315.7999016135,105490.78743302688,140316.4862015232
2021-06-18,124644.81017867854,126140.20154600307,104131.44948293507,138423.5543651485
2021-06-21,125840.19632310123,127277.02286301424,105587.2457696111,140405.15126721805
2021-06-22,126320.6785785694,128340.35046820156,106052.63980089467,141155.82317916382
2021-06-23,126265.8768208267,128331.72051093238,106034.13006640568,140985.68626568516
2021-06-24,127009.53156537462,129154.84901845711,106680.81802689085,141819.71487930586
2021-06-25,126852.89777976261,129117.13455764706,106996.92273883344,142323.50939791996
