,Combined_Equity
2019-08-22,272527.3215852507
2019-08-23,268979.60955086345
2019-08-26,270620.1895922802
2019-08-27,271182.33406859264
2019-08-28,272069.0795613778
2019-08-29,273737.96934980643
2019-08-30,273390.5076052348
2019-09-03,273391.63094556925
2019-09-04,274930.7486442089
2019-09-05,274324.379809033
2019-09-06,273972.19940449845
2019-09-09,273150.34810398734
2019-09-10,271954.06620860635
2019-09-11,273216.80189429136
2019-09-12,273304.48666540266
2019-09-13,271923.90834625094
2019-09-16,272618.56456852134
2019-09-17,273155.4063906506
2019-09-18,272978.05864677316
2019-09-19,273333.8388321403
2019-09-20,273837.71039479866
2019-09-23,274130.6611687238
2019-09-24,273236.30793673574
2019-09-25,272931.4629131208
2019-09-26,272825.30199488497
2019-09-27,271323.7284726709
2019-09-30,271409.65564494557
2019-10-01,270402.0157296476
2019-10-02,269067.1291130706
2019-10-03,271185.0076801159
2019-10-04,273611.0112195218
2019-10-07,272484.62179814803
2019-10-08,269842.9227732845
2019-10-09,271578.9486673908
2019-10-10,271926.8134198981
2019-10-11,273598.1900629694
2019-10-14,273866.3901750606
2019-10-15,275615.7577207232
2019-10-16,275408.45507255255
2019-10-17,275814.10014182713
2019-10-18,274094.816837806
2019-10-21,275338.1447517869
2019-10-22,274710.79695487843
2019-10-23,274924.3289414831
2019-10-24,276055.04901618435
2019-10-25,277547.313123798
2019-10-28,278308.3578919357
2019-10-29,277190.36424042535
2019-10-30,278410.72870589426
2019-10-31,279013.763518317
2019-11-01,280779.5542011365
2019-11-04,281878.59312391264
2019-11-05,280666.245484601
2019-11-06,280844.7730751436
2019-11-07,280155.70603278384
2019-11-08,280373.6023855104
2019-11-11,279799.4867846086
2019-11-12,280530.16917918035
2019-11-13,280710.8801630691
2019-11-14,281385.9321049234
2019-11-15,282665.2839133926
2019-11-18,283127.6082660812
2019-11-19,283359.7681568262
2019-11-20,282432.67832808685
2019-11-21,281475.0010967423
2019-11-22,281658.47965725476
2019-11-25,284554.20207151666
2019-11-26,285267.6476786537
2019-11-27,286244.50004604313
2019-11-29,285264.4095791902
2019-12-02,282197.3852861535
2019-12-03,280596.42551158695
2019-12-04,282416.369226862
2019-12-05,282986.2034428418
2019-12-06,286176.7248892353
2019-12-09,285044.3220122588
2019-12-10,284981.4384142136
2019-12-11,287251.1130572016
2019-12-12,289661.2269282958
2019-12-13,290652.1197380366
2019-12-16,292792.7405980844
2019-12-17,292931.1003719399
2019-12-18,292676.5236450444
2019-12-19,294286.3582884
2019-12-20,295788.2708322294
2019-12-23,296404.0693333007
2019-12-24,296849.34852501383
2019-12-26,299008.3437099629
2019-12-27,298652.25884827966
2019-12-30,296606.12632940896
2019-12-31,297026.4971480333
2020-01-02,301949.8917654872
2020-01-03,299924.10253433266
2020-01-06,300722.94610103813
2020-01-07,300932.2475493073
2020-01-08,302272.04991965345
2020-01-09,304413.26199964946
2020-01-10,303766.8674992344
2020-01-13,306485.2186237225
2020-01-14,305940.5215886973
2020-01-15,305928.05574566755
2020-01-16,308942.3370136753
2020-01-17,310120.1903470071
2020-01-21,310042.26605329476
2020-01-22,310973.74270201416
2020-01-23,312113.81634795415
2020-01-24,310270.4786385914
2020-01-27,304191.2695514359
2020-01-28,309027.3406082884
2020-01-29,308981.1344049711
2020-01-30,309888.27317425975
2020-01-31,304119.2079705738
2020-02-03,307159.15250078175
2020-02-04,310768.0147266557
2020-02-05,312289.9092112681
2020-02-06,314096.99063879636
2020-02-07,313424.4277823933
2020-02-10,316080.3903763108
2020-02-11,316033.35396519076
2020-02-12,317880.3583762313
2020-02-13,317981.98913001304
2020-02-14,318839.38071630406
2020-02-18,319564.56483638287
2020-02-19,321819.31607370486
2020-02-20,320639.2605878621
2020-02-21,317971.46083614184
2020-02-24,307764.66589745245
2020-02-25,298848.97636963445
2020-02-26,299267.70384669444
2020-02-27,286298.6956444192
2020-02-28,285028.6084555481
2020-03-02,289607.9042289661
2020-03-03,286490.9805962026
2020-03-04,290122.77111653006
2020-03-05,285971.0592822313
2020-03-06,285734.6137244593
2020-03-09,279314.4199245526
2020-03-10,280580.0987858219
2020-03-11,275229.3593021071
2020-03-12,266178.0797574768
2020-03-13,269365.3921595419
2020-03-16,263062.7887480663
2020-03-17,265578.97946333204
2020-03-18,259837.81036031037
2020-03-19,260088.4973791287
2020-03-20,260034.07232121713
2020-03-23,261747.389483698
2020-03-24,268777.82660849753
2020-03-25,268970.3541284011
2020-03-26,273252.2803728901
2020-03-27,271832.17499436875
2020-03-30,274052.75953904935
2020-03-31,271537.85244749615
2020-04-01,269319.39721724566
2020-04-02,271657.305234979
2020-04-03,270690.341806436
2020-04-06,276645.43619883416
2020-04-07,276307.77782074787
2020-04-08,277710.6155276976
2020-04-09,280489.6394405928
2020-04-13,280325.4717061152
2020-04-14,283249.9132414354
2020-04-15,281682.4012794
2020-04-16,282266.18968904804
2020-04-17,283089.7916266248
2020-04-20,282250.6292397903
2020-04-21,279888.0731011197
2020-04-22,282421.4716371694
2020-04-23,283026.34158743377
2020-04-24,284084.94409206114
2020-04-27,284765.9547400856
2020-04-28,284700.41933941335
2020-04-29,287358.7125410782
2020-04-30,284782.7821167927
2020-05-01,282369.28711303195
2020-05-04,282908.2507920429
2020-05-05,283660.33551460784
2020-05-06,282179.8247124782
2020-05-07,284709.9085311323
2020-05-08,285881.58353332616
2020-05-11,285365.7872212378
2020-05-12,283558.67533964495
2020-05-13,282419.26819928974
2020-05-14,284104.50930398406
2020-05-15,284821.32421655604
2020-05-18,286972.61138767994
2020-05-19,286509.37620235817
2020-05-20,288694.55358746945
2020-05-21,287380.9729241779
2020-05-22,288180.23264262435
2020-05-26,288303.60044984083
2020-05-27,290370.68149188836
2020-05-28,289845.6465030932
2020-05-29,292754.8887265581
2020-06-01,293528.14522496006
2020-06-02,294209.6303554871
2020-06-03,294234.9866669675
