,NTSX,Platinum Proxy-Aware,F-TAA Stitched,SPY
2008-05-21,102735.99124674828,103694.9010971206,103298.85614149466,92749.34481729963
2008-05-22,102515.65973934274,103442.97729775951,103430.78624090685,92762.65869035535
2008-05-23,101728.84722515321,103475.0058271884,102675.17322807129,91519.26307212116
2008-05-27,102019.48878689653,103264.49620869782,102240.17101478999,92197.46976349357
2008-05-28,102096.99987098156,103293.19498700024,102435.93842847341,92623.01317973329
2008-05-29,102151.60767989824,102715.14783507245,101798.1218892727,93088.39811083149
2008-05-30,102429.04735377159,103078.91715415372,102155.74954672609,93321.14062853494
2008-06-02,101851.76480236676,103048.79426718368,101736.34146807328,92357.03603154488
2008-06-03,101802.5577657605,102585.38033020006,101243.99514784412,91818.47485079453
2008-06-04,101406.30110105746,102757.91771059412,100961.85473344235,91771.92634725384
2008-06-05,102656.5798909244,103012.95831538162,102220.53540964948,93607.13863846129
2008-06-06,101343.19207646693,103218.62963271978,101906.91263796976,90621.62773610101
2008-06-09,101220.67455646157,102761.78954582871,101351.6431354764,90841.05638074873
2008-06-10,100687.69834086276,101840.78657549691,100481.14355821513,90388.88521839758
2008-06-11,99599.14267740288,101781.22876115663,100269.34993979592,89059.09958176421
2008-06-12,99682.35457670447,101449.8440019491,100241.92451744816,89398.15287529607
2008-06-13,100156.12232549256,101931.3744570504,100638.4429801264,90528.53072901965
2008-06-16,100253.63626998663,102486.30691457119,100983.80061703469,90581.78622124254
2008-06-17,99892.18458239528,102409.98486380164,100775.9651386941,90142.82882763841
2008-06-18,99594.04194799859,102466.24435974649,100678.33579929321,89265.2143533562
2008-06-19,99430.41854985263,102880.82662489222,100484.36449776209,89378.23211786682
2008-06-20,98744.12040921852,102832.63211692542,99865.00762461653,87927.42037202767
2008-06-23,98765.32344125211,101989.5618212437,99615.62922524413,87840.62993639373
2008-06-24,98697.51374446547,102125.36628191505,99636.52610077446,87666.8488565085
2008-06-25,98817.63092122175,102394.2202470357,99647.01873023686,88081.18059017496
2008-06-26,97341.11978012857,102568.17174954021,99819.5147830114,85688.88782110959
2008-06-27,97359.1223544967,102717.07957611409,100034.66540228575,85221.10038660285
2008-06-30,97486.1405180941,102587.3585615968,100229.5472597339,85521.81372990656
2008-07-01,97492.44141912293,103087.45973573985,100155.60006139532,85789.09223410796
2008-07-02,96531.80404797886,103130.87736232208,100107.07838714104,84318.96035669168
2008-07-03,96317.57341299806,102762.68706277327,100019.73839288123,84405.85089663429
2008-07-07,95594.16996630518,102526.76643575041,99262.88170253282,83543.752590199
2008-07-08,96638.71933686518,102532.68845419874,99124.26833542423,85027.29844497966
2008-07-09,95654.97866194867,102633.2917773663,98661.44780726828,83390.09247636038
2008-07-10,96159.25077286053,103373.10742641856,99660.19002288365,83730.94764744864
2008-07-11,95287.82615914075,103814.48407640406,99744.45616394616,82755.23095065058
2008-07-14,94916.47305564697,104041.02971701275,99640.53640442227,82006.85113888673
2008-07-15,93759.60762389023,104150.53275135146,98792.36356785042,80850.74647782989
2008-07-16,94535.91863636501,103737.90001238273,98884.52921895962,82835.414501911
2008-07-17,94747.14884228444,103702.52772577904,98514.38606425427,83664.07796924395
2008-07-18,94679.23913119578,103553.83360412154,98353.11336485723,84185.321104591
2008-07-21,94959.87926273457,103899.30742965387,98727.79831149726,84232.06981674906
2008-07-22,95337.83331016336,103219.52305207979,98183.61654994858,85187.6655475005
