Date,SPY Buy & Hold,System E Original,R3 Vol-Adjusted,R7 Full Kelly,A: Calmar blend Sys80/R320,C: Regime-switch SysE<->R7 (BearScore),D: 15% vol-target on [A]
2008-06-06,1.3246976386266704,3.643893498405269,1.8261919780648694,2.096781352742184,3.1908327384126935,2.7948134126470516,2.5766602427104073
2008-06-13,1.3233364633768332,3.5682023096772646,1.7906366263049587,2.052372152034347,3.125383023352025,2.7360423923467803,2.5238083095258927
2008-06-20,1.285314619098846,3.582986836390157,1.79473764336908,2.063306359603061,3.1371734815895462,2.7486567861789464,2.5333293366290155
2008-06-27,1.2457529964710345,3.6214771027754282,1.7979669379109935,2.0801538553845527,3.1652588738562573,2.7749432303240353,2.556008843700439
2008-07-04,1.23383579786273,3.620309775561806,1.7922285662811943,2.0789414414371086,3.1624207604667767,2.7737047587700587,2.553717011274708
2008-07-11,1.209707803670853,3.622519359908706,1.7911453656532657,2.082227249337668,3.1635819772016314,2.7765998661249935,2.5546547166447984
2008-07-18,1.230611825431424,3.6013499192937184,1.7850104136458305,2.06774250751764,3.14662360861917,2.75877230626344,2.540960500216082
2008-07-25,1.225728004468807,3.599920683212438,1.7837506588172192,2.0671811626955483,3.145180294574956,2.7576192712973375,2.539794995716049
2008-08-01,1.2323697813500236,3.6451170332754974,1.805160872975764,2.093633345928514,3.184320022627319,2.792371985095447,2.5714010965213174
2008-08-08,1.2637263319813092,3.665564610133185,1.8168807048495408,2.103379877330749,3.202744512404141,2.806705336872533,2.586279234672732
2008-08-15,1.2715409427923081,3.6898546284537663,1.828844183842665,2.11734965483159,3.223940762848933,2.8252722941499786,2.6033956241212115
2008-08-22,1.266461839437885,3.6846488733086367,1.825828282859189,2.1145345640243125,3.2192385916792503,2.8213229895782566,2.599598528346969
2008-08-29,1.258060863461038,3.701239451205825,1.831533414106358,2.1247300731033985,3.2328457131397927,2.8343606812436466,2.610586546760793
2008-09-05,1.2153737901815536,3.7243848965296893,1.8361775339107675,2.140303688556039,3.2506563728337063,2.8536143056890286,2.6249690050379955
2008-09-12,1.23168696636626,3.7137481870850437,1.8322770160024648,2.132514840921268,3.241847937338702,2.8443062099435767,2.6178560199958065
2008-09-19,1.2194612526583268,3.6943997539301177,1.8242986165476605,2.122811357064041,3.2255123685912803,2.8301932496568103,2.604664726692704
